Year,txtDSN,txtCSO,SumOfnumVolume,Events,txtWaterBody
1996,003,Ballard,1380000.00,5,Lake Washington Ship Canal
1996,004,11th Ave. NW,2010000.00,1,Lake Washington Ship Canal
1996,006,Magnolia S,28260000.00,26,Elliott Bay/Puget Sound
1996,007,Canal St.,580000.00,1,Lake Washington Ship Canal
1996,008,3rd Ave. W,31470000.00,4,Lake Washington Ship Canal
1996,009,Dexter,28080000.00,12,Lake Union
1996,012,Belvoir,190000.00,2,Lake Washington
1996,013,MLK Jr. Way,137310000.00,12,Lake Washington
1996,014,Montlake,81110000.00,6,Lake Washington Ship Canal
1996,015,University,443250000.00,5,Lake Washington Ship Canal
1996,028,King Street,18030000.00,7,Elliott Bay/Puget Sound
1996,029,Kingdome,60820000.00,4,Elliott Bay/Puget Sound
1996,030,Lander St.,121000000.00,3,Duwamish River/East Waterway
1996,031a,Hanford @ Rainier,185050000.00,12,Duwamish River/East Waterway
1996,032,Hanford #2,63020000.00,4,Duwamish River/East Waterway
1996,036,Chelan,41690000.00,6,Duwamish River/West Waterway
1996,037,Harbor Ave.,440000.00,3,Duwamish River/West Waterway
1996,040,8th Ave./W Marginal Way,3760000.00,1,Duwamish River
1996,041,Brandon St.,38760001.00,29,Duwamish River
1996,042,Michigan W,3750000.00,4,Duwamish River
1996,044a,Norfolk St.,47820000.00,6,Duwamish River
1996,045,Henderson,11300000.00,1,Lake Washington
1996,048b,North Beach Inlet,12620000.00,15,Puget Sound
1996,27a-1,Denny Way Local,27460000.00,18,Elliott Bay/Puget Sound
1996,27a-2,Denny Way Lake Union,60340000.00,27,Elliott Bay/Puget Sound
1996,27a-3,Interbay,74520000.00,5,Elliott Bay/Puget Sound
1997,003,Ballard,5180000.00,8,Lake Washington Ship Canal
1997,004,11th Ave. NW,8760400.00,21,Lake Washington Ship Canal
1997,006,Magnolia S,12425600.00,31,Elliott Bay/Puget Sound
1997,007,Canal St.,80000.00,1,Lake Washington Ship Canal
1997,008,3rd Ave. W,7460000.00,9,Lake Washington Ship Canal
1997,009,Dexter,48770000.00,21,Lake Union
1997,012,Belvoir,180000.00,1,Lake Washington
1997,013,MLK Jr. Way,82960000.00,20,Lake Washington
1997,014,Montlake,6990000.00,2,Lake Washington Ship Canal
1997,015,University,142790000.00,9,Lake Washington Ship Canal
1997,028,King Street,24330000.00,18,Elliott Bay/Puget Sound
1997,029,Kingdome,43880000.00,11,Elliott Bay/Puget Sound
1997,030,Lander St.,29740000.00,12,Duwamish River/East Waterway
1997,031a,Hanford @ Rainier,75660000.00,14,Duwamish River/East Waterway
1997,032,Hanford #2,120900000.00,17,Duwamish River/East Waterway
1997,036,Chelan,5750000.00,8,Duwamish River/West Waterway
1997,037,Harbor Ave.,340.00,1,Duwamish River/West Waterway
1997,041,Brandon St.,49830122.00,40,Duwamish River
1997,042,Michigan W,3390000.00,6,Duwamish River
1997,044a,Norfolk St.,19220000.00,15,Duwamish River
1997,045,Henderson,3600000.00,9,Lake Washington
1997,048b,North Beach Inlet,6877200.00,19,Puget Sound
1997,27a-1,Denny Way Local,46780000.00,31,Elliott Bay/Puget Sound
1997,27a-2,Denny Way Lake Union,179420000.00,49,Elliott Bay/Puget Sound
1997,27a-3,Interbay,79410000.00,16,Elliott Bay/Puget Sound
1998,003,Ballard,17750.00,4,Lake Washington Ship Canal
1998,004,11th Ave. NW,12513000.00,10,Lake Washington Ship Canal
1998,006,Magnolia S,3710000.00,21,Elliott Bay/Puget Sound
1998,007,Canal St.,160600.00,2,Lake Washington Ship Canal
1998,008,3rd Ave. W,5370000.00,8,Lake Washington Ship Canal
1998,009,Dexter,17090000.00,13,Lake Union
1998,012,Belvoir,50000.00,1,Lake Washington
1998,013,MLK Jr. Way,37140000.00,21,Lake Washington
1998,014,Montlake,11550000.00,7,Lake Washington Ship Canal
1998,015,University,85052710.00,10,Lake Washington Ship Canal
1998,028,King Street,39801650.00,14,Elliott Bay/Puget Sound
1998,029,Kingdome,11610000.00,3,Elliott Bay/Puget Sound
1998,030,Lander St.,79310000.00,10,Duwamish River/East Waterway
1998,031a,Hanford @ Rainier,24920000.00,17,Duwamish River/East Waterway
1998,032,Hanford #2,221900000.00,17,Duwamish River/East Waterway
1998,036,Chelan,3620799.00,5,Duwamish River/West Waterway
1998,037,Harbor Ave.,700.00,1,Duwamish River/West Waterway
1998,041,Brandon St.,67160000.00,29,Duwamish River
1998,042,Michigan W,1700000.00,7,Duwamish River
1998,044a,Norfolk St.,7050000.00,7,Duwamish River
1998,045,Henderson,890000.00,4,Lake Washington
